age_sec,anchor_count,block,captured_at,client,geometry_version,host,kind,module_id,observation_count,position_event_id,protocol,received_at,rms_m,sigma_m,slot_id,tag_id,topic,uptime_ms,x_m,y_m,truth_x_m,truth_y_m,error_m,comparison_valid,exclusion_reason
0.0091400146484375,4,flex_1,1785085451.359452,192.168.50.198:54210,47,uwb-module-1,local_position,1,12,7882,flextdoa,1785085451.3515356,0.128,0.035,19659,1,uwb.flex_tdoa.position,65330,1.548,1.471,1.5175,1.46675,0.030794682982618914,1,
0.010712385177612305,4,flex_1,1785085451.3929863,192.168.50.198:54210,47,uwb-module-1,local_position,1,12,7884,flextdoa,1785085451.3834317,0.084,0.023,19667,1,uwb.flex_tdoa.position,65360,1.55,1.515,1.5175,1.46675,0.05817484421981712,1,
0.008127212524414062,4,flex_1,1785085451.4294853,192.168.50.198:54210,47,uwb-module-1,local_position,1,12,7888,flextdoa,1785085451.4224916,0.094,0.026,19683,1,uwb.flex_tdoa.position,65400,1.519,1.483,1.5175,1.46675,0.016319083920367673,1,
0.004404306411743164,4,flex_1,1785085451.4636512,192.168.50.198:54210,47,uwb-module-1,local_position,1,12,7891,flextdoa,1785085451.4604313,0.071,0.019,19695,1,uwb.flex_tdoa.position,65450,1.512,1.486,1.5175,1.46675,0.020020302195521433,1,
0.007783412933349609,4,flex_1,1785085451.4939258,192.168.50.198:54210,47,uwb-module-1,local_position,1,12,7893,flextdoa,1785085451.487208,0.091,0.025,19703,1,uwb.flex_tdoa.position,65470,1.52,1.474,1.5175,1.46675,0.007668930825088946,1,
0.0037925243377685547,4,flex_1,1785085451.5328524,192.168.50.198:54210,47,uwb-module-1,local_position,1,12,7897,flextdoa,1785085451.530368,0.104,0.028,19719,1,uwb.flex_tdoa.position,65520,1.542,1.448,1.5175,1.46675,0.03085145863650534,1,
0.002400636672973633,4,flex_1,1785085451.567361,192.168.50.198:54210,47,uwb-module-1,local_position,1,12,7900,flextdoa,1785085451.5661652,0.095,0.026,19731,1,uwb.flex_tdoa.position,65550,1.542,1.479,1.5175,1.46675,0.027391832724372435,1,
0.008148670196533203,4,flex_1,1785085451.5987303,192.168.50.198:54210,47,uwb-module-1,local_position,1,12,7902,flextdoa,1785085451.5920768,0.159,0.043,19739,1,uwb.flex_tdoa.position,65570,1.518,1.517,1.5175,1.46675,0.05025248750062021,1,
0.005550861358642578,4,flex_1,1785085451.6353326,192.168.50.198:54210,47,uwb-module-1,local_position,1,12,7905,flextdoa,1785085451.630893,0.079,0.022,19751,1,uwb.flex_tdoa.position,65620,1.52,1.454,1.5175,1.46675,0.01299278646018631,1,
0.008326292037963867,4,flex_1,1785085451.668744,192.168.50.198:54210,47,uwb-module-1,local_position,1,12,7908,flextdoa,1785085451.6611674,0.038,0.01,19763,1,uwb.flex_tdoa.position,65640,1.547,1.491,1.5175,1.46675,0.03818785801796164,1,
0.002048492431640625,4,flex_1,1785085451.7033145,192.168.50.198:54210,47,uwb-module-1,local_position,1,12,7910,flextdoa,1785085451.702691,0.049,0.013,19771,1,uwb.flex_tdoa.position,65670,1.54,1.462,1.5175,1.46675,0.022995923551794972,1,
0.0010879039764404297,4,flex_1,1785085451.733463,192.168.50.198:54210,47,uwb-module-1,local_position,1,12,7914,flextdoa,1785085451.7333333,0.12,0.033,19787,1,uwb.flex_tdoa.position,65720,1.544,1.429,1.5175,1.46675,0.04612279805042182,1,
0.010288715362548828,4,flex_1,1785085451.7671983,192.168.50.198:54210,47,uwb-module-1,local_position,1,12,7916,flextdoa,1785085451.758229,0.092,0.025,19795,1,uwb.flex_tdoa.position,65740,1.538,1.484,1.5175,1.46675,0.026792023066577075,1,
0.011486530303955078,4,flex_1,1785085451.8035736,192.168.50.198:54210,47,uwb-module-1,local_position,1,12,7918,flextdoa,1785085451.7931988,0.086,0.023,19803,1,uwb.flex_tdoa.position,65760,1.499,1.468,1.5175,1.46675,0.018542181640788618,1,
0.0076351165771484375,4,flex_1,1785085451.83939,192.168.50.198:54210,47,uwb-module-1,local_position,1,12,7922,flextdoa,1785085451.8332145,0.111,0.03,19819,1,uwb.flex_tdoa.position,65820,1.58,1.47,1.5175,1.46675,0.06258444295509867,1,
0.008680105209350586,4,flex_1,1785085451.8818176,192.168.50.198:54210,47,uwb-module-1,local_position,1,12,7925,flextdoa,1785085451.8740783,0.071,0.019,19831,1,uwb.flex_tdoa.position,65850,1.509,1.445,1.5175,1.46675,0.02335192711533676,1,
0.0027320384979248047,4,flex_1,1785085451.916429,192.168.50.198:54210,47,uwb-module-1,local_position,1,12,7929,flextdoa,1785085451.9148002,0.048,0.013,19847,1,uwb.flex_tdoa.position,65900,1.545,1.471,1.5175,1.46675,0.027826471209982644,1,
0.008469343185424805,4,flex_1,1785085451.9497,192.168.50.198:54210,47,uwb-module-1,local_position,1,12,7931,flextdoa,1785085451.942326,0.132,0.036,19855,1,uwb.flex_tdoa.position,65920,1.528,1.461,1.5175,1.46675,0.011971319893812801,1,
0.0006797313690185547,4,flex_1,1785085451.984053,192.168.50.198:54210,47,uwb-module-1,local_position,1,12,7935,flextdoa,1785085451.985007,0.118,0.032,19871,1,uwb.flex_tdoa.position,65970,1.562,1.456,1.5175,1.46675,0.04578004477935774,1,
0.009076118469238281,4,flex_1,1785085452.0204856,192.168.50.198:54210,47,uwb-module-1,local_position,1,12,7937,flextdoa,1785085452.0123749,0.068,0.019,19879,1,uwb.flex_tdoa.position,65990,1.536,1.46,1.5175,1.46675,0.019692955593307953,1,
0.006666898727416992,4,flex_1,1785085452.0563138,192.168.50.198:54210,47,uwb-module-1,local_position,1,12,7940,flextdoa,1785085452.0502965,0.056,0.015,19891,1,uwb.flex_tdoa.position,66030,1.523,1.467,1.5175,1.46675,0.005505678886386153,1,
0.029977083206176758,4,flex_1,1785085452.0926244,192.168.50.198:54210,47,uwb-module-1,local_position,1,12,7944,flextdoa,1785085452.097825,0.063,0.017,19907,1,uwb.flex_tdoa.position,66080,1.493,1.481,1.5175,1.46675,0.02834276803701433,1,
0.004829883575439453,4,flex_1,1785085452.1705928,192.168.50.198:54210,47,uwb-module-1,local_position,1,12,7950,flextdoa,1785085452.1673174,0.065,0.018,19931,1,uwb.flex_tdoa.position,66150,1.539,1.474,1.5175,1.46675,0.0226894799411532,1,
0.004828929901123047,4,flex_1,1785085452.205817,192.168.50.198:54210,47,uwb-module-1,local_position,1,12,7953,flextdoa,1785085452.2025418,0.109,0.03,19943,1,uwb.flex_tdoa.position,66180,1.5,1.457,1.5175,1.46675,0.020032785627565653,1,
