capture_id,protocol,motion,position_stream,gps_time,uwb_time,delta_ms,uwb_east_m,uwb_north_m,rtk_east_m,rtk_north_m,error_east_m,error_north_m,error_m,gps_fix_age_ms,gps_speed_mps,position_sigma_m,position_rms_m,geometry_version,alignment_version,alignment_exact_version,alignment_age_s,debiased_error_m
flextdoa_final_dynamic_20260813,flextdoa,dynamic,ekf,1786642791.3546076,1786642791.368788,14.180421829223633,0.21068964903589427,-0.09800360891502624,0.00319011540443515,0.0026668836465806667,0.20749953363145912,-0.10067049256160691,0.23063088372954216,,0.0,0.649,0.649,104,104,True,0.13795256614685059,0.01173640712635315
flextdoa_final_dynamic_20260813,flextdoa,dynamic,ekf,1786642791.477963,1786642791.4705834,-7.3795318603515625,0.21151013214096603,-0.09584332471240398,0.002950856740469821,-0.0017779227388134285,0.2085592754004962,-0.09406540197359055,0.22879088968757735,,0.0,0.703,0.703,104,104,True,0.2397480010986328,0.0066163216648257
flextdoa_final_dynamic_20260813,flextdoa,dynamic,ekf,1786642791.6070704,1786642791.6034427,-3.627777099609375,0.21370431770912535,-0.09298321842343249,0.0015153049906940276,-0.0012223211146231887,0.21218901271843132,-0.0917608973088093,0.23118010163796637,,0.0,0.708,0.708,104,104,True,0.3726072311401367,0.00875746215340235
flextdoa_final_dynamic_20260813,flextdoa,dynamic,ekf,1786642791.7619238,1786642791.761593,-0.3306865692138672,0.21536346673165885,-0.0987246955243446,-0.001276046019121807,0.0015556828624865525,0.21663951275078067,-0.10028037838683115,0.23872333940002954,,0.0,0.683,0.683,104,104,True,0.4964945316314697,0.016792902172200624
flextdoa_final_dynamic_20260813,flextdoa,dynamic,ekf,1786642791.8558528,1786642791.8824363,26.583433151245117,0.20921441163972831,-0.09570337841839027,-0.0018343161236407377,-0.00011111952085323448,0.21104872776336905,-0.09559225889753704,0.23168825056888495,,0.0,0.649,0.649,104,104,True,0.37565135955810547,0.009496846223247743
flextdoa_final_dynamic_20260813,flextdoa,dynamic,ekf,1786642791.9793506,1786642791.9809039,1.5532970428466797,0.20512808566872964,-0.09696693186473127,-0.0008772815340355902,0.0005556005177347334,0.20600536720276524,-0.097522532382466,0.22792291600151854,,0.0,0.68,0.68,104,104,True,0.27718377113342285,0.008284271076560787
flextdoa_final_dynamic_20260813,flextdoa,dynamic,ekf,1786642792.1393797,1786642792.139568,0.18835067749023438,0.21264350446458224,-0.09892122091116562,0.0007177762554470016,-0.0027780022467168864,0.21192572820913524,-0.09614321866444873,0.23271448767133573,,0.0,0.671,0.671,104,104,True,0.11851954460144043,0.010525021670035726
flextdoa_final_dynamic_20260813,flextdoa,dynamic,ekf,1786642792.2572765,1786642792.258148,0.8714199066162109,0.21296654228331202,-0.09872826074729879,0.0035091267997760358,-0.0020001624446905975,0.209457415483536,-0.09672809830260819,0.2307135321178228,,0.0,0.702,0.702,104,104,True,6.031990051269531e-05,0.00918485637595407
flextdoa_final_dynamic_20260813,flextdoa,dynamic,ekf,1786642792.353272,1786642792.354416,1.1439323425292969,0.21488062743223857,-0.09560320740161732,0.00279135079409151,-0.00011112005457630868,0.21208927663814706,-0.09549208734704101,0.23259535681261434,,0.0,0.678,0.678,104,104,True,0.0963282585144043,0.010263672630582893
flextdoa_final_dynamic_20260813,flextdoa,dynamic,ekf,1786642792.4869301,1786642792.4906151,3.68499755859375,0.21121357393968232,-0.10735317839286385,0.00231283337939614,-0.0008889618252774508,0.20890074056028618,-0.1064642165675864,0.23446566660384616,,0.0,0.679,0.679,104,104,True,0.232527494430542,0.017680693062308652
