method,received_at,east_m,north_m,error_to_rtk_m
FlexTDOA,1785765505.741392,0.276340,3.334603,0.138874
FlexTDOA,1785765505.741451,0.384735,3.447884,0.018291
FlexTDOA,1785765505.843000,0.186365,3.273479,0.246598
FlexTDOA,1785765505.929712,0.386000,3.394936,0.039188
FlexTDOA,1785765505.940978,0.445025,3.311441,0.139935
FlexTDOA,1785765505.993760,0.316880,3.287344,0.156301
FlexTDOA,1785765506.095515,0.358785,3.256278,0.176953
FlexTDOA,1785765506.143896,0.287027,3.283991,0.172529
FlexTDOA,1785765506.149149,0.462939,3.344110,0.124799
FlexTDOA,1785765506.289787,0.360949,3.375307,0.058856
FlexTDOA,1785765506.292428,0.264235,3.373831,0.125201
FlexTDOA,1785765506.445958,0.301995,3.393796,0.082488
FlexTDOA,1785765506.490897,0.282936,3.390663,0.100978
FlexTDOA,1785765506.635181,0.521163,3.324891,0.181634
FlexTDOA,1785765506.741024,0.457083,3.486455,0.098362
FlexTDOA,1785765506.831953,0.249376,3.378966,0.136407
FlexTDOA,1785765507.040186,0.330968,3.374827,0.072463
FlexTDOA,1785765507.040351,0.315656,3.465546,0.067783
FlexTDOA,1785765507.047659,0.248925,3.547573,0.170574
FlexTDOA,1785765507.082767,0.380571,3.330909,0.101754
FlexTDOA,1785765507.108320,0.442743,3.272298,0.174000
FlexTDOA,1785765507.111318,0.244263,3.405991,0.133239
FlexTDOA,1785765507.111318,0.336490,3.427169,0.038717
FlexTDOA,1785765507.111318,0.355705,3.285935,0.147810
FlexTDOA,1785765507.166796,0.333638,3.314435,0.125049
FlexTDOA,1785765507.232461,0.290289,3.315905,0.144026
FlexTDOA,1785765507.357380,0.315268,3.456135,0.064087
FlexTDOA,1785765507.357444,0.461803,3.324053,0.139010
FlexTDOA,1785765507.358912,0.414953,3.381885,0.064584
FlexTDOA,1785765507.474867,0.285286,3.275537,0.180714
FlexTDOA,1785765507.474910,0.510970,3.394778,0.141262
FlexTDOA,1785765507.474951,0.410797,3.506224,0.082025
FlexTDOA,1785765507.619053,0.272408,3.260344,0.200325
FlexTDOA,1785765507.619090,0.329600,3.431664,0.045246
FlexTDOA,1785765507.619345,0.349670,3.379495,0.058679
FlexTDOA,1785765507.619345,0.473668,3.282594,0.179554
FlexTDOA,1785765507.667924,0.320844,3.487107,0.076793
FlexTDOA,1785765507.668126,0.496104,3.270948,0.202002
FlexTDOA,1785765507.726217,0.272282,3.260908,0.199905
FlexTDOA,1785765507.726268,0.439062,3.416566,0.066171
FlexTDOA,1785765507.728736,0.459852,3.264868,0.187959
FlexTDOA,1785765507.795326,0.202305,3.475896,0.177907
