block,slot_id,initiator_id,received_at,x_m,y_m,truth_x_m,truth_y_m,error_m
flex_3,39019,5,1785086158.6914291,1.5581626464318397,1.6019988886014274,1.5,1.5,0.11741663730443645
flex_3,39023,5,1785086158.6922584,1.5680806282883912,1.5185700126948931,1.5,1.5,0.07056782070909225
flex_3,39026,4,1785086158.692461,1.4751495743432332,1.4531388823293185,1.5,1.5,0.05304251129676975
flex_3,39028,2,1785086158.6925337,1.482331527283207,1.5588993318384678,1.5,1.5,0.061492326506337465
flex_3,39029,3,1785086158.6925921,1.5538270433724648,1.5241381834710375,1.5,1.5,0.058991546000275945
flex_3,39030,4,1785086158.6926787,1.3960199601021368,1.668924216079251,1.5,1.5,0.19836138604867307
flex_3,39031,5,1785086158.6947713,1.5358548572322681,1.542742682030344,1.5,1.5,0.05578985261042929
flex_3,39034,4,1785086158.7832835,1.517839586710266,1.3952441338811499,1.5,1.5,0.10626402185266448
flex_3,39036,2,1785086158.784361,1.5145691523182436,1.4998506171717705,1.5,1.5,0.01456991813640535
flex_3,39039,5,1785086158.78447,1.615816823524268,1.509030551217951,1.5,1.5,0.11616835828465288
flex_3,39040,2,1785086158.7845013,1.461198799480603,1.521602951925402,1.5,1.5,0.04440969143821738
flex_3,39042,4,1785086158.7845645,1.6033480938194888,1.5864271085802233,1.5,1.5,0.1347236935125354
flex_3,39043,5,1785086158.784594,1.6028533346426614,1.4763595478183429,1.5,1.5,0.10553520467819502
flex_3,39046,4,1785086158.7846785,1.553722427531218,1.5838184011517906,1.5,1.5,0.09955713732068369
flex_3,39048,2,1785086158.7847433,1.5104032771964562,1.5652330585647936,1.5,1.5,0.06605740008616817
flex_3,39049,3,1785086158.7847826,1.6302170201413413,1.4864446945265501,1.5,1.5,0.13092065780834217
flex_3,39050,4,1785086158.7848113,1.4891441833335803,1.5385871212923223,1.5,1.5,0.040085093053694044
flex_3,39051,5,1785086158.7848408,1.6155426909509323,1.4463628950645318,1.5,1.5,0.1273854483763396
flex_3,39053,3,1785086158.7848988,1.595297031533542,1.4636745488453566,1.5,1.5,0.1019856000653684
flex_3,39054,4,1785086158.7849267,1.5068778546604231,1.4853997442798978,1.5,1.5,0.01613915585841712
flex_3,39055,5,1785086158.7893655,1.5913054687773973,1.582086283203725,1.5,1.5,0.12277966655298597
flex_3,39056,2,1785086158.7894175,1.5119565438032139,1.4604466896506798,1.5,1.5,0.041320978924848956
flex_3,39057,3,1785086158.7894924,1.71773317950289,1.57051007255922,1.5,1.5,0.22886547967909932
flex_3,39058,4,1785086158.7895288,1.5737751623961909,1.5268620800717516,1.5,1.5,0.07851334875271548
flex_3,39059,5,1785086158.7940867,1.565169983389201,1.5383869923374653,1.5,1.5,0.07563522932909872
flex_3,39060,2,1785086158.8278232,1.5304062928100588,1.5228608430383876,1.5,1.5,0.03804156656707016
flex_3,39063,5,1785086158.8306844,1.5755964238128588,1.654380325914994,1.5,1.5,0.17189562042970483
flex_3,39067,5,1785086158.8318114,1.575485107517278,1.5436294773772363,1.5,1.5,0.08718676936958838
flex_3,39068,2,1785086158.8318849,1.4531593868115686,1.508300652124816,1.5,1.5,0.0475704096005643
