role,capture_id,protocol,kind,first_id,second_id,link,time,measured_m,rtk_horizontal_m,rtk_vertical_m,rtk_slant_m,height_correction_m,error_m,first_rtk_age_ms,second_rtk_age_ms
calibration,native_ds_rtk_delay_dryrun,native_ds,ds_range,1,2,M1-M2,1786379452.38322,4.782,4.659603349837261,-0.019998658790330304,4.659646265991447,4.291615418594574e-05,0.12235373400855298,74.37705993652344,63.179731369018555
calibration,native_ds_rtk_delay_dryrun,native_ds,ds_range,1,3,M1-M3,1786379452.3835077,4.76,4.892719875119195,-0.04999795316884886,4.8929753291537725,0.00025545403457716276,-0.13297532915377275,74.66483116149902,503.0233860015869
calibration,native_ds_rtk_delay_dryrun,native_ds,ds_range,1,4,M1-M4,1786379452.3837452,5.186,5.160208173537176,-0.04999907074687604,5.160450397137388,0.00024222360021219913,0.025549602862612097,74.90229606628418,718.8296318054199
calibration,native_ds_rtk_delay_dryrun,native_ds,ds_range,1,5,M1-M5,1786379452.3528917,4.741,4.656358265883613,-0.0199972482058694,4.656401205888347,4.294000473414883e-05,0.08459879411165261,44.04878616333008,501.87134742736816
calibration,native_ds_rtk_delay_dryrun,native_ds,ds_range,1,2,M1-M2,1786379452.469219,4.75,4.659603349837261,-0.019998658790330304,4.659646265991447,4.291615418594574e-05,0.09035373400855296,160.37607192993164,149.17874336242676
calibration,native_ds_rtk_delay_dryrun,native_ds,ds_range,1,3,M1-M3,1786379452.4694498,4.799,4.892719875119195,-0.04999795316884886,4.8929753291537725,0.00025545403457716276,-0.09397532915377216,160.60686111450195,417.081356048584
calibration,native_ds_rtk_delay_dryrun,native_ds,ds_range,1,4,M1-M4,1786379452.4696817,5.198,5.163335097483672,-0.049999068825281046,5.163577174381159,0.00024207689748756422,0.034422825618841024,160.83884239196777,667.7217483520508
calibration,native_ds_rtk_delay_dryrun,native_ds,ds_range,1,5,M1-M5,1786379452.4395247,4.757,4.656358265883613,-0.0199972482058694,4.656401205888347,4.294000473414883e-05,0.10059879411165262,130.68175315856934,588.5043144226074
calibration,native_ds_rtk_delay_dryrun,native_ds,ds_range,1,2,M1-M2,1786379452.5932217,4.766,4.659603349837261,-0.019998658790330304,4.659646265991447,4.291615418594574e-05,0.10635373400855297,284.3787670135498,273.1814384460449
calibration,native_ds_rtk_delay_dryrun,native_ds,ds_range,1,3,M1-M3,1786379452.5934508,4.758,4.892719875119195,-0.04999795316884886,4.8929753291537725,0.00025545403457716276,-0.13497532915377253,284.6078872680664,293.08032989501953
calibration,native_ds_rtk_delay_dryrun,native_ds,ds_range,1,4,M1-M4,1786379452.5627627,5.202,5.163335097483672,-0.049999068825281046,5.163577174381159,0.00024207689748756422,0.038422825618840584,253.9198398590088,574.6407508850098
