role,capture_id,protocol,motion,gps_time,uwb_time,delta_ms,uwb_east_m,uwb_north_m,rtk_east_m,rtk_north_m,error_east_m,error_north_m,error_m,gps_fix_age_ms,gps_speed_mps,position_sigma_m,position_rms_m,geometry_version,alignment_version,alignment_exact_version,alignment_age_s,debiased_error_m
validation,flextdoa_dynamic_final_01,flextdoa,dynamic,1786447853.5960867,1786447853.59477,-1.3167858123779297,0.21213622903609264,0.11193120173288129,0.2521786431694639,0.006000492059747717,-0.040042414133371285,0.10593070967313357,0.11324623694181687,nan,0.0,0.279,0.279,2147504575,2147504591,False,0.10659599304199219,0.041803645599115084
validation,flextdoa_dynamic_final_01,flextdoa,dynamic,1786447853.7219908,1786447853.7014122,-20.578622817993164,0.3071931333359328,0.07507764091535751,0.2525774078672809,0.006556093417442857,0.0546157254686519,0.06852154749791466,0.08762465372243206,nan,0.0,0.374,0.374,2147504591,2147504591,True,4.6253204345703125e-05,0.06820663668195885
validation,flextdoa_dynamic_final_01,flextdoa,dynamic,1786447853.963451,1786447853.9657602,2.3093223571777344,0.4212762121210756,0.021253379332842215,0.2524179020494942,0.007445054121122091,0.16885831007158136,0.013808325211720124,0.16942195467348067,nan,0.0,0.324,0.324,2147504607,2147504591,False,0.26439428329467773,0.19184650464569944
validation,flextdoa_dynamic_final_01,flextdoa,dynamic,1786447853.9811354,1786447853.9657602,-15.375137329101562,0.4212762121210756,0.021253379332842215,0.25257740797750466,0.006889452597839227,0.1686988041435709,0.014363926735002988,0.1693092109447074,nan,0.0,0.324,0.324,2147504607,2147504591,False,0.26439428329467773,0.19152205521125848
validation,flextdoa_dynamic_final_01,flextdoa,dynamic,1786447854.418269,1786447854.440184,21.915197372436523,0.21617629035532415,0.08593739661441546,0.2537737011478316,0.007445053819908579,-0.037597410792507446,0.07849234279450688,0.08703225365156834,nan,0.0,0.267,0.267,2147504647,2147504591,False,0.7388181686401367,0.02467047788253725
validation,flextdoa_dynamic_final_01,flextdoa,dynamic,1786447854.4537017,1786447854.4533281,-0.37360191345214844,0.12721954410294423,0.057800280625215805,0.2514608675374037,0.0063338528643541725,-0.12424132343445948,0.05146642776086163,0.1344793650907453,nan,0.0,0.222,0.222,2147504655,2147504591,False,0.7519621849060059,0.1130614190756806
validation,flextdoa_dynamic_final_01,flextdoa,dynamic,1786447854.4993393,1786447854.4979734,-1.3659000396728516,0.10509783101606307,0.1367662847668818,0.25058358566214933,0.004889290159774393,-0.14548575464608626,0.1318769946071074,0.19636101067051026,nan,0.0,0.132,0.132,2147504671,2147504591,False,0.796607494354248,0.14432788087929868
validation,flextdoa_dynamic_final_01,flextdoa,dynamic,1786447854.513619,1786447854.5081966,-5.422353744506836,0.126133249142508,0.11379867313124148,0.2489885279747423,0.005778252071307513,-0.1228552788322343,0.10802042105993397,0.16359043646531254,nan,0.0,0.207,0.207,2147504679,2147504591,False,0.806830644607544,0.11471024822128893
validation,flextdoa_dynamic_final_01,flextdoa,dynamic,1786447854.6126137,1786447854.6788554,66.24174118041992,0.09408705705838827,0.1437493254264366,0.24827075200239107,0.006556093209952568,-0.1541836949440028,0.13719323221648402,0.20638457973548174,nan,0.0,0.17,0.17,2147504711,2147504591,False,0.9774894714355469,0.15443656811168383
validation,flextdoa_dynamic_final_01,flextdoa,dynamic,1786447854.7241495,1786447854.7083902,-15.75922966003418,0.19811621262461987,0.12490961226044739,0.24643643519525327,0.007111692818594861,-0.0483202225706334,0.11779791944185253,0.1273231861606704,nan,0.0,0.328,0.328,2147504715,2147504591,False,1.0070242881774902,0.0562363790118705
